name,datetime,tempmax,tempmin,temp,humidity,precip,precipprob,windgust,windspeed,sealevelpressure
New York City,1/1/2022,56.1,50,52.7,92.5,0.735,100,13.2,8.1,1008.3
New York City,1/2/2022,58.4,38.3,50.4,84.1,0.087,100,31.4,14.9,1004.8
New York City,1/3/2022,37.6,23.5,30,50.2,0,0,31.1,17.3,1019.3
New York City,1/4/2022,34.3,19.3,27,49.3,0,0,23.3,12.2,1028
New York City,1/5/2022,46.1,30.7,38.9,78.4,0.213,100,20.4,10.8,1014
New York City,1/6/2022,40.6,35,37.3,51.6,0,0,23.8,12.8,1011.1
New York City,1/7/2022,34.2,26,30,67.1,0.35,100,32.6,16.1,1012.2
New York City,1/8/2022,29.8,20.6,25.7,45.1,0,0,28.7,14,1032.7
New York City,1/9/2022,39.4,28.3,35.3,68.7,0.105,100,26.4,13.9,1022.9
New York City,1/10/2022,39.9,25.2,30.5,47.9,0,0,30.4,20.7,1019.2
New York City,1/11/2022,24.6,15.9,18.7,40.8,0,0,32.9,21,1031
New York City,1/12/2022,39.7,19.4,31.1,47.3,0,0,24.2,12.9,1022.8
New York City,1/13/2022,47,34.3,39.4,60,0,0,10.1,6.8,1015.1
New York City,1/14/2022,42.5,24.4,37.4,65.8,0,0,32.7,20.1,1009.6
New York City,1/15/2022,21.5,11.4,16.2,44.5,0,0,26.4,14.4,1024.1
New York City,1/16/2022,35.4,9.8,20.4,65.2,0.229,100,24.5,17.5,1024.6
New York City,1/17/2022,44,34.4,38.3,76.7,1.115,100,38.5,21.4,989.9
New York City,1/18/2022,36.4,29.8,32.9,47,0,0,33.6,18.3,1011
New York City,1/19/2022,48.9,28.9,39.9,49.3,0,0,27.7,15.7,1017.7
New York City,1/20/2022,45,23.9,35.4,62.1,0.238,100,26.4,15.3,1020.4
New York City,1/21/2022,22.5,14.1,18.4,43,0,0,25.5,14.4,1033.1
New York City,1/22/2022,29.4,13.4,21.7,47.5,0,0,19.7,13.6,1027.1
New York City,1/23/2022,36.4,23.5,29.8,46.8,0.02,100,20.8,11.4,1012.6
New York City,1/24/2022,34.8,27.1,31.1,64.8,0,0,14.5,10.2,1011.3
New York City,1/25/2022,42.4,29.9,36.8,57.2,0,0,20.1,12.7,1014.1
New York City,1/26/2022,28.8,20.7,24.3,38.3,0,0,26.7,15,1026.9
New York City,1/27/2022,31.1,17.1,25,45.1,0,0,19,9.7,1028.9
New York City,1/28/2022,32.3,28.9,30.7,68.4,0.065,100,21.7,13.7,1019.5
New York City,1/29/2022,29.1,13.3,19.2,70.4,0.563,100,31.8,18.9,1006.5
New York City,1/30/2022,25.4,12.5,18.7,46.5,0,0,29.4,18.1,1015.6
New York City,1/31/2022,30,20,25,46.3,0,0,10.7,7.3,1027.1
New York City,2/1/2022,35.2,22.2,29.4,57.8,0,0,20.8,10.4,1033.5
New York City,2/2/2022,45.2,31.5,38.1,80.4,0,0,8.7,6.9,1030.1
New York City,2/3/2022,49.2,41.4,44.7,92.6,0.393,100,23.3,6.7,1022.9
New York City,2/4/2022,55.2,27.2,39.3,87.6,0.708,100,39.1,16.3,1012.8
New York City,2/5/2022,27.2,19.3,24.1,59.1,0,0,27.2,16.3,1024.3
New York City,2/6/2022,29.8,16.6,23.7,55.3,0,0,15,10,1035.4
New York City,2/7/2022,37.2,29.5,34,86.9,0.105,100,12.5,9.9,1024.8
New York City,2/8/2022,44.9,33.2,37.7,68.3,0.082,100,27.7,16.4,1013.8
New York City,2/9/2022,45.1,29.8,37,55.2,0,0,13.4,9.2,1017
New York City,2/10/2022,53.2,37.1,44.8,53.2,0,0,32,21,1011.6
New York City,2/11/2022,56.5,38.4,48.1,40.5,0,0,27.3,13.3,1014.1
New York City,2/12/2022,57.7,43.5,52.9,36.9,0,0,31.1,21,1013.8
